種目,日付,結果,分析記憶,実行
4BLD,2021/03/14,3:38.15,1:39,1:59
4BLD (DNF),2021/02/27,4:11.68,2:07,2:04
4BLD mo3,2019/03/31,13:50.00,,
4BLD開眼,2021/02/25,2:23.77,,
Xのみソルブ,2021/03/07,1:22.17,0:37,0:45
Wのみソルブ,2021/02/28,1:49.43,x:xx,x:xx
Cのみソルブ,2022/08/07,14.40,5.67,8.72
単発National Rank,2019/03/30,11,,
平均National Rank,2019/03/31,4,,
単発Continental Rank,2022/08/21,71,,
平均Continental Rank,2019/12/31,42,,
単発World Rank,2022/08/21,229,,
平均World Rank,2019/12/31,124,,
