種目,日付,ポイント,挑戦個数,成功個数,タイム,分析記憶,実行
5MBLD 2個,(日付),(ポイント),(挑戦個数),(成功個数),(タイム),(分析記憶),(実行)
5MBLD 3個,2019/01/27,1,2,3,1:26:23,0:54:56,0:31:27
5MBLD 4個,2022/08/29,-4,0,4,1:49:09.41,1:26:31,0:22:38
5MBLD 5個,2020/05/16,3,4,5,4:01:01.91,3:09:09,0:51:52
